Id,Expected
af35b65bd9ea42cfcfedb5eb2a0e4b50_0,572891 95 574171 95 575451 95 576731 95 577986 130 579266 130 580546 130 581826 130 583091 150 584371 150 585651 150 586931 150 588186 180 589466 180 590746 180 592026 180 593301 190 594581 190 595861 190 597136 200 598416 200 599696 200 600976 200 602256 205 603536 205 604816 205 606096 205 607376 205 608656 205 609936 205 611216 205 612496 210 613776 210 615056 210 616336 210 617616 215 618896 215 620176 215 621456 215 622736 220 624016 220 625296 220 626576 220 627861 220 629141 220 630421 220 631701 220 632981 220 634261 220 635541 220 636826 220 638106 220 639386 220 640666 220 641946 220 643226 220 644506 220 645786 220 647071 215 648351 215 649631 215 650911 215 652191 220 653471 220 654751 220 656031 220 657311 220 658591 220 659871 220 661151 220 662436 215 663716 215 664996 215 666276 215 667556 220 668836 220 670116 220 671396 220 672681 215 673961 215 675241 215 676521 215 677806 210 679086 210 680366 210 681646 210 682926 210 684206 210 685486 210 686771 205 688051 205 689331 205 690611 205 691896 200 693176 200 694456 200 695736 200 697016 200 698296 200 699576 200 700856 200 702141 195 703421 195 704701 195 705981 195 707266 190 708546 190 709826 190 711106 190 712391 185 713671 185 714951 185 716231 185 717516 175 718796 175 720076 175 721356 175 722641 170 723921 170 725201 170 726486 165 727766 165 729046 165 730326 165 731611 160 732891 160 734171 160 735451 160 736736 150 738016 150 739296 150 740576 150 741861 145 743141 145 744421 145 745701 145 746986 135 748266 135 749546 135 750826 135 752111 125 753391 125 754671 125 755951 125 757236 120 758516 120 759796 120 761076 120 762361 110 763641 110 764921 110 766201 110 767486 105 768766 105 770046 105 771336 90 772616 90 773896 90 775176 90 776471 70 777751 70 779031 70 780311 70 781611 40 782891 40 784171 40 785451 40
af35b65bd9ea42cfcfedb5eb2a0e4b50_1,
f62f215f0da4ad3a7ab8df9da7386835_0,135151 10 136431 10 137711 10 138991 10 140256 55 141536 55 142816 55 144096 55 145361 80 146641 80 147921 80 149201 80 150466 105 151746 105 153026 105 154286 130 155566 130 156846 130 158126 130 159396 150 160676 150 161956 150 163236 150 164501 175 165781 175 167061 175 168341 175 169606 195 170886 195 172166 195 173446 195 174721 205 176001 205 177281 205 178561 205 179831 225 181111 225 182391 225 183671 225 184941 240 186221 240 187501 240 188781 240 190056 250 191336 250 192616 250 193896 250 195166 265 196446 265 197726 265 199006 265 200286 265 201566 265 202846 265 204126 270 205406 270 206686 270 207966 270 209241 275 210521 275 211801 275 213081 275 214361 275 215641 275 216921 275 218201 275 219481 270 220761 270 222041 270 223321 270 224596 255 224856 5 224866 5 225876 255 226136 5 226146 5 227156 255 227416 5 227426 5 228436 255 228696 5 228706 5 229716 255 230996 255 232276 255 233556 255 234836 255 236116 255 237396 255 238676 255 239951 260 241231 260 242511 260 243791 260 245071 260 246351 260 247631 260 248911 260 250191 260 251471 260 252751 260 254026 265 255306 265 256586 265 257866 265 259146 255 260426 255 261706 255 262986 255 264266 255 265546 255 266826 255 268106 255 269386 255 270666 255 271946 255 273226 255 274506 255 275786 255 277066 255 278346 255 279626 255 279886 5 280906 255 281166 5 282186 255 282446 5 283466 255 283726 5 284746 270 286026 270 287306 270 288586 275 289866 275 291146 275 292426 275 293701 290 294981 290 296261 290 297541 290 298826 285 300106 285 301386 285 302666 285 303946 290 305226 290 306506 290 307786 290 309066 285 310346 285 311626 285 312906 285 314186 290 315466 290 316746 290 318026 290 319306 290 320586 290 321866 290 323146 290 324426 295 325706 295 326986 295 328266 295 329546 295 330826 295 332106 295 333386 295 334666 295 335946 295 337226 295 338511 290 339791 290 341071 290 342351 290 343631 300 344911 300 346191 300 347471 300 348751 300 350031 300 351311 300 352591 300 353871 300 355151 300 356431 300 357711 300 358991 300 360271 300 361551 300 362831 300 364111 300 365391 300 366671 300 367951 300 369231 300 370511 300 371791 300 373071 300 374351 300 375631 300 376911 300 378196 295 379476 295 380756 295 382036 295 383316 295 384596 295 385876 295 387156 295 388441 290 389721 290 391001 290 392281 290 393571 285 394851 285 396131 285 397411 285 398701 275 399981 275 401261 275 402541 275 403836 260 405116 260 406396 260 407676 260 408966 255 410246 255 411526 255 412806 255 414091 250 415371 250 416651 250 417941 245 419221 245 420501 245 421781 245 423066 240 424346 240 425626 240 426906 240 428196 230 429476 230 430756 230 432036 230 433321 230 434601 230 435881 230 437161 230 438451 220 439731 220 441011 220 442291 220 443581 205 444861 205 446141 205 447421 205 448721 185 450001 185 451281 185 452561 185 453891 130 455171 130 456451 130 457731 130 459036 90 460316 90 461596 90 462896 35 464176 35 465456 35 466736 35
f62f215f0da4ad3a7ab8df9da7386835_1,
df366e057db382b8564872a27301a654_0,249931 10 251211 10 252491 10 253746 45 255026 45 256306 45 257586 45 258856 65 260136 65 261416 65 262696 65 263971 75 265251 75 266531 75 267811 75 269086 85 270366 85 271646 85 272926 85 274201 95 275481 95 276761 95 278041 95 279321 105 280601 105 281881 105 283156 115 284436 115 285716 115 286996 115 288276 115 289556 115 290836 115 292116 115 293391 125 294671 125 295951 125 297231 125 298511 130 299791 130 301071 130 302351 130 303631 135 304911 135 306191 135 307466 145 308746 145 310026 145 311306 145 312586 145 313866 145 315146 145 316426 145 317706 150 318986 150 320266 150 321546 150 322821 160 324101 160 325381 160 326661 160 327941 160 329221 160 330501 160 331781 160 333056 170 334336 170 335616 170 336896 170 338176 170 339456 170 340736 170 342016 175 343296 175 344576 175 345856 175 347131 180 348411 180 349691 180 350971 180 352251 185 353531 185 354811 185 356091 185 357366 195 358646 195 359926 195 361206 200 362486 200 363766 200 365046 200 366326 205 367606 205 368886 205 370166 205 371446 205 372726 205 374006 205 375286 205 376566 210 377846 210 379126 210 380406 210 381686 215 382966 215 384246 215 385521 220 386801 220 388081 220 389361 220 390641 225 391921 225 393201 225 394481 225 395761 225 397041 225 398321 225 399601 225 400881 225 402161 225 403441 225 404721 225 405996 230 407276 230 408556 230 409836 230 411116 235 412396 235 413676 235 414956 235 416236 235 417516 235 418796 235 420076 235 421356 235 422636 235 423916 235 425196 235 426476 235 427756 235 429036 235 430316 240 431596 240 432876 240 434156 240 435436 240 436716 240 437996 240 439276 245 440556 245 441836 245 443116 245 444396 245 445676 245 446956 245 448236 245 449516 245 450796 245 452076 245 453356 245 454636 245 455916 245 457196 245 458476 245 459761 245 461041 245 462321 245 463601 245 464881 245 466161 245 467441 245 468721 245 470001 245 471281 245 472561 245 473846 240 475126 240 476406 240 477686 240 478966 240 480246 240 481526 240 482806 240 484086 240 485366 240 486646 240 487926 240 489211 235 490491 235 491771 235 493051 240 494331 240 495611 240 496891 240 498176 235 499456 235 500736 235 502016 235 503296 235 504576 235 505856 235 507136 235 508416 235 509696 235 510976 235 512256 235 513536 235 514816 235 516096 235 517376 235 518661 230 519941 230 521221 230 522496 235 523776 235 525056 235 526336 235 527616 230 528896 230 530176 230 531456 230 532736 230 534016 230 535296 230 536576 230 537856 230 539136 230 540416 230 541696 230 542976 235 544256 235 545536 235 546816 235 548096 235 549376 235 550656 235 551936 235 553216 235 554496 235 555776 235 557061 230 558341 230 559621 230 560901 230 562181 230 563461 230 564741 230 566021 230 567306 225 568586 225 569866 225 571146 225 572426 225 573706 225 574986 225 576266 225 577546 225 578826 225 580106 225 581386 225 582666 225 583946 225 585226 225 586511 220 587791 220 589071 220 590351 220 591631 220 592911 220 594191 220 595471 220 596751 220 598031 220 599311 220 600591 220 601871 220 603151 220 604431 220 605711 220 606991 220 608271 220 609551 220 610831 220 612111 220 613391 220 614671 220 615951 220 617231 220 618511 220 619791 220 621076 210 622356 210 623636 210 624916 210 626196 210 627476 210 628756 210 630036 205 631316 205 632596 205 633876 205 635156 205 636436 205 637716 205 638996 205 640281 195 641561 195 642841 195 644121 195 645401 195 646681 195 647961 195 649241 195 650526 185 651806 185 653086 185 654366 185 655646 185 656926 185 658206 185 659491 180 660771 180 662051 180 663331 180 664611 175 665891 175 667171 175 668451 175 669736 170 671016 170 672296 170 673576 170 674856 170 676136 170 677416 170 678701 165 679981 165 681261 165 682541 165 683821 165 685101 165 686381 165 687661 165 688941 165 690221 165 691501 165 692781 165 694061 160 695341 160 696621 160 697901 160 699181 160 700461 160 701741 160 703021 160 704306 155 705586 155 706866 155 708146 155 709426 155 710706 155 711986 155 713266 150 714546 150 715826 150 717106 150 718386 150 719666 150 720946 150 722226 150 723511 145 724791 145 726071 145 727351 145 728631 140 729911 140 731191 140 732471 140 733751 140 735031 140 736311 140 737596 130 738876 130 740156 130 741436 130 742716 130 743996 130 745276 130 746556 130 747846 110 749126 110 750406 110 751686 110 752971 90 754251 90 755531 90 756811 90 758121 50 759401 50 760681 50
df366e057db382b8564872a27301a654_1,
88e16d4ca6160127cd1d5ff99c267599_0,478446 5 478456 5 478466 5 479726 5 479736 5 479746 5 481006 5 481016 5 481026 5 482286 5 482296 5 482306 5 483521 105 484801 105 486081 105 487361 105 488636 120 489916 120 491196 120 492476 120 493751 135 495031 135 496311 135 497591 135 498866 145 500146 145 501426 145 502706 145 503986 155 505266 155 506546 155 507821 165 509101 165 510381 165 511661 165 512941 170 514221 170 515501 170 516781 170 518056 180 519336 180 520616 180 521896 180 523176 185 524456 185 525736 185 527016 185 528291 195 529571 195 530851 195 532131 195 533406 205 534686 205 535966 205 537246 205 538526 210 539806 210 541086 210 542366 210 543641 220 544921 220 546201 220 547481 220 548756 225 550036 225 551316 225 552596 230 553876 230 555156 230 556436 230 557711 235 558991 235 560271 235 561551 235 562826 245 564106 245 565386 245 566666 245 567946 245 569226 245 570506 245 571786 245 573061 255 574341 255 575621 255 576901 255 578181 255 579461 255 580741 255 582021 255 583301 260 584581 260 585861 260 587141 260 588416 265 589696 265 590976 265 592256 265 593536 265 594816 265 596096 265 597371 275 598651 275 599931 275 601211 275 602491 275 603771 275 605051 275 606331 275 607611 275 608891 275 610171 275 611451 275 612726 285 614006 285 615286 285 616566 285 617846 290 619126 290 620406 290 621686 290 622966 290 624246 290 625526 290 626806 290 628086 290 629366 290 630646 290 631926 290 633206 290 634486 290 635766 290 637046 290 638326 290 639606 290 640886 290 642166 290 643446 290 644726 290 646006 290 647286 290 648566 290 649846 290 651126 290 652406 285 653686 285 654966 285 656246 285 657526 285 658806 285 660086 285 661366 285 662646 285 663926 285 665206 285 666486 285 667766 285 669046 285 670326 285 671606 285 672881 285 674161 285 675441 285 676721 285 678001 285 679281 285 680561 285 681841 280 683121 280 684401 280 685681 280 686961 280 688241 280 689521 280 690801 280 692076 285 693356 285 694636 285 695916 285 697196 280 698476 280 699756 280 701036 280 702316 280 703596 280 704876 280 706156 280 707436 280 708716 280 709996 280 711276 280 712556 275 713836 275 715116 275 716396 275 717676 275 718956 275 720236 275 721516 275 722791 280 724071 280 725351 280 726631 275 727911 275 729191 275 730471 275 731751 275 733031 275 734311 275 735591 275 736871 270 738151 270 739431 270 740711 270 741986 275 743266 275 744546 275 745826 275 747106 270 748386 270 749666 270 750946 270 752221 275 753501 275 754781 275 756061 275 757341 275 758621 275 759901 275 761181 275 762461 270 763741 270 765021 270 766301 270 767576 275 768856 275 770136 275 771416 275 772696 275 773976 275 775256 275 776536 270 777816 270 779096 270 780376 270 781656 270 782936 270 784216 270 785496 270 786776 265 788056 265 789336 265 790616 265 791896 265 793176 265 794456 265 795736 265 797016 265 798296 265 799576 265 800856 265 802136 265 803416 265 804696 265 805976 265 807261 255 808541 255 809821 255 811101 255 812381 255 813661 255 814941 255 816221 255 817501 255 818781 255 820061 255 821351 245 822631 245 823911 245 825191 245 826481 235 827761 235 829041 235 830321 235 831606 225 832886 225 834166 225 835446 225 836731 220 838011 220 839291 220 840571 220 841856 215 843136 215 844416 215 845696 215 846976 215 848256 215 849536 215 850816 215 852101 205 853381 205 854661 205 855941 205 857226 200 858506 200 859786 200 861071 195 862351 195 863631 195 864911 195 866196 185 867476 185 868756 185 870036 185 871321 180 872601 180 873881 180 875161 180 876446 175 877726 175 879006 175 880286 175 881576 165 882856 165 884136 165 885416 165 886706 150 887986 150 889266 150 890546 150 891836 140 893116 140 894396 140 895676 140 896961 135 898241 135 899521 135 900806 130 902086 130 903366 130 904646 130 905936 115 907216 115 908496 115 909776 115 911066 100 912346 100 913626 100 914906 100 916201 85 917481 85 918761 85 920041 85 921336 65 922616 65 923896 65 925176 65 926471 35 927751 35 929031 35 930311 35 931606 5 932886 5 934166 5 935446 5
88e16d4ca6160127cd1d5ff99c267599_1,
425b976973f13dd311a65d2b46d0a608_0,259201 20 260481 20 261761 20 263041 20 264311 35 265591 35 266871 35 268151 35 269421 45 270701 45 271981 45 273261 45 274531 55 275811 55 277091 55 278366 65 279646 65 280926 65 282206 65 283476 75 284756 75 286036 75 287316 75 288586 85 289866 85 291146 85 292426 85 293701 90 294981 90 296261 90 297536 95 298816 95 300096 95 301376 95 302646 105 303926 105 305206 105 306486 105 307756 120 309036 120 310316 120 311591 125 312871 125 314151 125 315431 125 316701 135 317981 135 319261 135 320541 135 321816 140 323096 140 324376 140 325656 140 326931 140 328211 140 329491 140 330771 140 332051 140 333331 140 334611 140 335891 140 337171 140 338451 140 339731 140 341011 140 342291 140 343571 140 344851 140 346131 135 347411 135 348691 135 349971 135 351251 135 352531 135 353811 135 355091 135 356371 135 357651 135 358931 135 360211 130 361491 130 362771 130 364051 130 365336 125 366616 125 367896 125 369176 125 370456 125 371736 125 373016 125 374296 120 375576 120 376856 120 378136 120 379421 110 380701 110 381981 110 383261 110 384541 105 385821 105 387101 105 388386 95 389666 95 390946 95 392226 95 393511 80 394791 80 396071 80 397351 80 398641 50 399921 50 401201 50 402481 50
425b976973f13dd311a65d2b46d0a608_1,
